id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103760,Central Centre 5 min walk to/from Central MTR,304876,Brendan,,Central & Western,22.28418,114.15431,Entire home/apt,,12,316,2024-02-13,1.89,1,365,0,
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,800,30,223,2025-02-02,1.37,1,53,20,
263081,"3 睡房, 2500 平方呎 有工人 Family Friendly! 在中環半山 有車",1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,20878,10,0,,,1,363,0,
280746,Beautiful 3 bedroom designer Apt,1443229,Shan,,Yuen Long,22.46592,113.98207,Entire home/apt,955,3,57,2025-02-03,0.36,3,365,9,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,1057,30,19,2015-08-14,0.12,1,365,0,
338157,Harbor view PENTHOUSE with terrace,1137330,Al,,Eastern,22.2913,114.20211,Entire home/apt,683,2,109,2025-03-09,0.69,1,4,4,
494271,Private room in a beachside cottage for ladies,1209984,Daisy,,Islands,22.27184274100326,114.00395029676517,Private room,560,2,0,,,1,164,0,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,894,1,305,2025-02-23,1.96,1,309,23,
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.28113,114.18416,Entire home/apt,648,90,7,2024-12-21,0.09,9,325,3,
562775,Mixed Dorm Bed#2@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,206,1,209,2025-02-21,1.82,23,365,1,
562822,Studio w/ private kit. & bath. (B),2767759,Alfred,,Wan Chai,22.27917,114.18577,Entire home/apt,410,90,11,2013-03-02,0.07,9,260,0,
562840,Mixed Dorm Bed#B@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.2782412,114.1769881,Shared room,206,1,29,2023-03-02,0.19,23,365,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,2114,1,15,2024-02-17,0.13,3,27,0,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25552,113.86369,Hotel room,1338,1,46,2023-07-02,0.35,3,28,0,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25575,113.86351,Hotel room,933,1,30,2024-11-11,0.22,3,29,1,
603232,Discovery Bay -  Well  located 2 Bedroom apartment,2986287,Tish,,Islands,22.29313,114.01591,Entire home/apt,,4,39,2024-01-08,0.29,1,4,0,
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Shared room,262,1,218,2025-02-15,1.43,6,27,27,
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,472,1,39,2024-06-05,0.25,6,9,2,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,205,28,15,2025-03-05,0.10,6,218,3,
736732,1 min to ladies market 2 rooms fit 6 ppls,3800609,Zoe,,Yau Tsim Mong,22.32026,114.172,Entire home/apt,1088,1,147,2025-02-20,0.98,12,348,42,
741936,Family Room For 3 to 4,3784841,Albert,,Yau Tsim Mong,22.31805,114.17074,Private room,242,28,4,2015-01-05,0.03,6,278,0,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,179,28,21,2022-04-29,0.14,6,227,0,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,170,28,45,2022-03-31,0.30,6,196,0,
764696,Single bed room with green view,4031260,Jen Ai,,North,22.50294,114.13365,Private room,380,30,40,2024-12-20,0.27,1,82,3,
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23025,114.21702,Entire home/apt,6996,90,5,2017-04-16,0.03,1,227,0,
